car parked beside building beside house beside houseotherotherotherother,car in front of building-other-merged
bicycle leaning to building beside building beside-otherotherotherotherotherother,bicycle leaning on house
sky-other-other-sky over-sky over-other-other,sky-other-merged over building-other-merged
person talking to person on person,person attached to person
person standing on skis skisisis,person holding skis
person beside person beside,sports ball in front of person
potted plant plant beside chair beside chair,tree-merged in potted plant
kite sitting on grass on grass-merged-mergedgedged,backpack on grass-merged
person holding remote remote remote,person holding remote
car beside car beside chair beside,car in front of car
skis lying on snow on snow,snowboard in snow
person leaning to wall wall wall wall wall-otherotherotherotherothermer,person in front of wall-other-merged
curtain hanging from wall from wall-tile-tile-tile-tile,towel hanging from wall-tile
person running on floor floor floor-otherotherotherothermermermermer,person walking on playingfield
sky overcast over road over road over road over,light over road
sky-other----mer- over grass over-merged,sky-other-merged over grass-merged
person beside person beside,person beside person
zebra standing beside to zebraebraebraebraebraebraebraebraebra,zebra cleaning zebra
person holding wine glass,person holding cake
dirt-dirt beside beside beside beside beside,dirt-merged on giraffe
person holding knife knife knife,person holding knife
bookcase on shelf beside shelf shelf shelf shelf shelf shelf shelf shelf shelf shelf,book on shelf
person holding suitcase beside suitcase,person beside suitcase
elephant looking at tree at tree in tree-mergedgedgedged,elephant beside tree-merged
truck parked on pavement on pavement pavement-mergedgedgedgedged,truck parked on pavement-merged
car parked on road on road,car on road
person carrying handbagbagbagbagbagbagbagbag,person carrying handbag
sky-other-other-sky over train over train over train,sky-other-merged over train
elephant looking at front of building beside-otherotherotherotherothermer,elephant in front of wall-other-merged
tree-tree-mer-gedgedgedgedged on road road road,tree-merged beside road
horse walking on sand on,horse on sand
door-stuff beside wall beside wall-otherotherotherotherotherotherother,door-stuff beside counter
bear looking at sports ball sports ball ball ball ball ball ball ball ball ball,bear about to hit sports ball
cow eating grass on grass on-mergedgedgedgedgedgedged,cow standing on grass-merged
car parked on pavement on road pavement,truck parked on pavement-merged
person holding remote remote remote,person holding cup
truck driving on road on road,truck driving on pavement-merged
netnerner beside playingfield playingfieldfieldfieldfieldfieldfieldfieldfield,banner enclosing playingfield
person standing on pavement beside road beside,person standing on pavement-merged
person sitting on pavement on pavement on pavement,person sitting on pavement-merged
horse beside horse beside cow,cow looking at cow
sky-other----mer-ged-ged-affeaffe,sky-other-merged over giraffe
person touching person person,person holding person
person looking at person at,person playing with person
person holding handbagbagbagbagbagbagbag,person playing with dog
car parked on road on road,car parked on pavement-merged
person riding motorcycle motorcycle,person on motorcycle
bird sitting on rock on pavement on-merged-gedgedgedged,person attached to fence-merged
person riding motorcycle motorcycle motorcycle,person riding motorcycle
person sitting on train,person on train
person beside person beside,person beside person
person in front of person in person person,person beside person
person looking at bowl of cake,person looking at cake
person standing on grass on grass-merged-mergedged,person walking on grass-merged
person walking on snow on snow,person on snow
person sitting on train on train,person beside train
skisboardboardboardboardboardboardboardboardboardboardboardboardboard,person looking at person
bottle attached to sink bottle bottle bottle,bottle beside bottle
wine on table beside table beside table beside table,food-other-merged on dining table
person riding motorcycle motorcycle motorcycle,person on motorcycle
sky-other-other-other tree-other tree-other-other,sky-other-merged over tree-merged
person sitting on chair beside bench beside bench,person holding handbag
person about to to hit hit sports sports sports sports sports sports,person throwing sports ball
tree-tree-tree beside road beside road,tree-merged over road
person playing skateboardboardboardboardboardboardboardboardboardboardboardboard,person playing skateboard
person looking at person at,person beside person
sky-other----mer-ged-bus-bus-,sky-other-merged over bus
person standing on surfboardboardboardboardboardboard,person riding surfboard
platformcase beside train beside train platform beside platform,platform beside train
person wearing baseball glove glove glove glove glove glove glove glove glove glove,person wearing baseball glove
motorcycle parked beside pavement beside pavement beside-mergedgedgedged,car on road
person holding cell phone to cell phone,person holding cell phone
person holding suitcase beside,person holding handbag
sky-other-other-sky over-sky over-sky over,sky-other-merged beside truck
banner hanging from truck banner banner banner banner banner banner banner banner banner banner,banner over car
potted plant plant plant hanging from wall from wall-otherotherothermer,potted plant over wall-other-merged
person standing on grass on grass grass grass grassgedgedgedgedged,person wearing grass-merged
bird-other bird-other bird bird bird bird bird birdbirdbirdbird,sky-other-merged over bird
person standing on gravel dirt dirt,person standing on dirt-merged
person in front of window on-otherotherotherotherother,person in front of wall-wood
car driving on road beside road beside,car driving on road
elephant walking on dirt pavement on dirt-mergedgedgedgedged,elephant looking at sand
bear beside cat beside person,bear looking at bear
person beside person beside person,person attached to person
person looking at traffic light beside traffic light light light light light light light light,traffic light over stop sign
mouse on paper table table table table table,donut in cardboard
sky-other-other-sky over over pavement over road over,sky-other-merged over pavement-merged
person beside car beside car,person driving car
person painted on bus on bus,person driving bus
sky-other----mer-ged- sea-sea,sky-other-merged over sea
dog lying on grass playing on-merged-gedgedgedgedged,person lying on grass-merged
person driving motorcycle on road,person riding bicycle
potted plant in front of window beside building beside building-otherotherother,tree-merged wearing building-other-merged
fence---gedence enclosing enclosing zebra enclosing,fence-merged enclosing zebra
car driving on road on road,person crossing road
wine glass on dining table beside dining table table table table table table,food-other-merged on table-merged
bear looking at sports ball sports ball ball ball ball ball ball ball ball ball,bear looking at sports ball
tree-treegedgedgedgedgedged beside road beside road,tree-merged enclosing road
person wearing tie,person wearing tie
truck in front of truck in front of truck truck truck truck truck truck,truck beside truck
elephant standing on dirt dirt dirt dirt-mergedgedgedgedged,elephant standing on dirt-merged
person standing on dirt pavement pavement pavement pavement pavementgedgedgedgedged,bus parked on road
person holding surfboardboardboardboardboardboardboard,person standing on surfboard
sky-other----mer- over- pavement over-,sky-other-merged over road
fence-brick in front of front of house wall wall wall wall,fence-merged in front of building-other-merged
person beside bus beside bus,person looking at bus
person walking on sea,person walking on sea
person standing on playing playing playingfield playingfield,person running on playingfield
person sitting on bus,person driving bus
person holding cell phone holding phone phone phone,person holding cell phone
sky-other----- over pavement over pavement over-mer,sky-other-merged over dirt-merged
sky-other----mer-mer over grass over-mer,sky-other-merged over grass-merged
fence---mer-mer in front of front of tree tree,fence-merged in front of tree-merged
bench beside sea,bench beside sea
person beside person beside person,person in front of person
bicycle parked on pavement on road on,bicycle on road
person sitting on couch couch couch couch couch couch,person sitting on couch
person holding umbrella holding,person holding umbrella
dirt-giraffe enclosing giraffe enclosing giraffe encl,dirt-merged on giraffe
bridge in front of building beside-otherotherotherotherotherotherother,bird standing on building-other-merged
horse walking on grass on grass-merged-merged,horse walking on grass-merged
tree-tree-gedgedgedgedgedged-mer-mermer,tree-merged beside railroad
person about to hit sports hit sports sports sports sports sports sports,person playing sports ball
window in front of window beside-otherotherotherotherotherotherotherother,umbrella hanging from wall-wood
floor-tile floor attached to to floor to wall-otherotherotherother,floor-wood attached to door-stuff
person sitting on chair on chair,person on couch
person in front of building beside building building building building-otherotherothermer,person in front of building-other-merged
person playing with kite kite kite,person flying over kite
person looking at at person at person at,person looking at person
bear looking at tree over----gedgedgedgedgedged,bird sitting on rock-merged
person riding horse horse,person riding horse
tie looking at cell phone cell phone phone phone phone phone phone phone phone phone,tie beside cell phone
boat flying over water over water over-otherotherotherotherother,bird flying over sea
person leaning on tree in tree-----gedgedgedged,person in front of tree-merged
person sitting on grass on grass on-mergedgedgedgedgedged,person standing on grass-merged
person holding person person,person beside person
car driving on road on road,car parked on road
person wearing tie,person wearing tie
bottle hanging from bottle bottle bottle bottle bottle,bottle holding bottle
traffic light hanging from building over building building building building building building building,traffic light in front of building-other-merged
bird standing on rock on-mer-mer-mergedgedgedged,bird standing on rock-merged
person riding motorcycle motorcycle,person riding motorcycle
banner in front of building beside building building buildingotherotherotherotherother,window-other on building-other-merged
elephant walking on dirt pavement on dirt-mergedgedgedgedged,elephant walking on sand
mountainainain on mountain on mountain on mountaingedgedgedgedged,mountain-merged on snow
person beside tree beside tree beside- beside-mergedgedgedgedged,person in front of tree-merged
cow standing on grass on grass on-mergedgedgedgedgedged,dog standing on grass-merged
person in front of front of wall wall wall wall wall wall wall,person in front of net
zebra standing on grass grass grass grass grass grassgedgedgedgedged,zebra looking at mountain-merged
person holding baseball bat baseball bat bat bat bat bat,person holding baseball bat
person carrying handbagbagbagbagbagbagbagbag,person carrying handbag
car parked on road on road,car parked on road
person touching horse,person touching elephant
person riding horse on,person riding horse
person beside motorcycle beside car,building-other-merged beside car
person in front of building building building building building building-other-other-,person looking at building-other-merged
horse running on grass grass grass grass grass grassgedgedgedgedged,horse jumping from playingfield
truck parked on pavement on pavement on-mergedgedgedgedged,truck driving on road
car parked on road on road,car driving on road
person holding remote with remote,person holding toothbrush
person sitting on chair beside chair,person sitting on couch
person holding tennis racket ball ball ball ball ball ball ball ball ball ball ball,person holding sports ball
person walking on road on road,person crossing road
sky-other----mer- over- sand-,sky-other-merged over sand
person beside person beside,person in front of person
person in front of of of of of-otherotherotherotherother,person in front of wall-other-merged
person standing on pavement on pavement on pavement-mergedgedgedgedged,fire hydrant on pavement-merged
boat-wall in sand beside sea-,boat parked on sea
sky-other----mer-mer over-mer-mer,sky-other-merged over building-other-merged
person beside person beside,person wearing person
bus on road on road,bus parked on road
person sitting on bench on playingfield,person sitting on bench
tree-tree in front of bus in bus bus,tree-merged beside bus
person looking at laptop laptop,person looking at laptop
tree-tree-gedgedgedgedged on grass-mergedged,tree-merged enclosing grass-merged
person beside person beside,person looking at person
person walking on road on road,person standing on road
person carrying handbagbagbagbagbagbagbagbagbag,person carrying handbag
